SONG NAME,ARTIST,LINK,SPOTIFY LINK
Stay,The Kid Laroi,,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX?si=d9601c19c48645db
Cold Water,Major Lazer,,https://open.spotify.com/track/7zsXy7vlHdItvUSH8EwQss?si=cdc8e9c33fa64b0a
Holy,Justin Bieber,,https://open.spotify.com/track/6Xgq7MvZiet0hVi3KaDSgJ?si=98075cd79de340bc
No Promises,Cheat Codes,,https://open.spotify.com/track/5lNuqFVMca4vPupY10cH0J?si=f9b0083ad0204568
Body,Loud Luxury,,https://open.spotify.com/track/21RzyxY3EFaxVy6K4RqaU9?si=125fbc86607645bc
Not Like Us,Kendrick Lamar,,https://open.spotify.com/track/6AI3ezQ4o3HUoP6Dhudph3?si=bebed5e385754b3b
Lo Siento BB:/ ,Bad Bunny & Julieta Venegas,,https://open.spotify.com/track/4gzsuuZypVbxs0Af1LSZyB?si=1cb78be2d97a4c8e
Tití me preguntó,Bad Bunny ,,https://open.spotify.com/track/1IHWl5LamUGEuP4ozKQSXZ?si=09c4734269064ae8
Columbia,Quevedo,,https://open.spotify.com/track/6XbtvPmIpyCbjuT0e8cQtp?si=355a77590be841fc
Beamer boy,"Lil Peep, Nedarb",,https://open.spotify.com/track/7hf89cT5FEmLV5E9fjrjG7?si=44277e87714e405f
Spotlight,"Marshmello, Lil peep",,https://open.spotify.com/track/6VrCmhRBFnuGKmtNfk4jDs?si=2722cb7d0caf416a
"Dreams, Fairytales, Fantasies","A$AP Ferg, Breat Faiyaz, Salaam Remi",,https://open.spotify.com/track/5oady7OSE7dH7LHiqmb3Cr?si=da5b22dd71c24c39
Perfect,Logic,,https://open.spotify.com/track/5jbDih9bLGmI8ycUKkN5XA?si=1a46400fd4a242c5
Baila Conmigo (feat. Kelly Ruiz),"Dayvi, Victor Cardenas, Kelly Ruiz",,https://open.spotify.com/track/4Clmg1g8n2yBYG13Z1oSdG?si=aa912eddcbc14d08
Feel This Moment ( feat. Christina Aguilera),"Pitbull, Christina Aguilera",,https://open.spotify.com/track/0Hf4aIJpsN4Os2f0y0VqWl?si=9264b4e9a284496f
Super Bass,Nicki Minaj,,https://open.spotify.com/track/3hlksXnvbKogFdPbpO9vel?si=80c2ade3bb354918
C'est La Vie,"Yung Gravy, bbno$, Rich Brian",,https://open.spotify.com/track/3QqOcLtTU8zzlQRJCZzttP?si=fc38d8647ef947e3
Forever,Chris Brown,,https://open.spotify.com/track/3NZJlJemX3mzjf56MqC5ML?si=d326c8cc0a834b6d
Rocketeer,"Far East Movement, Ryan Tedder, Ruff Loaderz",,https://open.spotify.com/track/45sDIKapDyxPl307QpEAwl?si=5488850d75d04590
Outside,"Calviin Harris, Ellie Goulding",,https://open.spotify.com/track/7MmG8p0F9N3C4AXdK6o6Eb?si=b06a271293a74d96
20 Min,Lil Uzi Vert,,https://open.spotify.com/track/0uxSUdBrJy9Un0EYoBowng?si=dcafc780da0a48c4
HIGHEST IN THE ROOM,Travis Scoot,,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW?si=c2b5009327a84ba5
Ransom,Lil Tecca,,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO?si=074fa9e54de64803
Tek It,Cafune,,https://open.spotify.com/track/751srcHf5tUqcEa9pRCQwP?si=6c17317f724b434c
Legends,Juice WRLD,,https://open.spotify.com/track/6BjtaWm1T4kDWAqHrf8vEi?si=aedc8cefc18c44ee
Nevada,"Vicetone, Cozi Zuehisdorff",,https://open.spotify.com/track/02shCNmb6IvgB5jLqKjtkK?si=4c70a6631e9e45b3
How Deep Is Your love ,"Calviin Harris, Disciples",,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s?si=1b3d21f7652f48aa
I'll do it,Heidi Montag,,https://open.spotify.com/track/3RpCFxfsccNPDTWd3ALMaB?si=ebdd050532a141c4
Last Friday Night (T.G.I.F),Katy Perry,,https://open.spotify.com/track/3avYqdwHKEq8beXbeWCKqJ?si=97a4e7fbb20c4fd3
Needs,Verzache,,https://open.spotify.com/track/0WKmVAD4VWk5EdTyCFILi4?si=aac7f41245a44f66
PLAYA DEL INGLES,"Quevedo, Myke Towers",,https://open.spotify.com/track/0Sfn2TYbpQtCGMBf6C0Y6T?si=828872fca22443c8
edmame,"bbno$, Rich Brian",,https://open.spotify.com/track/1golLrmqyxDWedF7YUHCOD?si=9c058da06e4f4bd7
Everything Black,"Unlike Pluto, Mike Tayor",,https://open.spotify.com/track/3UEnF6y5tyHVtMzldS3svp?si=f3bdc2247910499a
Peomiscuous,"Nelly Furtado, Timbaland",,https://open.spotify.com/track/2gam98EZKrF9XuOkU13ApN?si=a45e4aec83094c57
What is love-7''Mix,Haddaway,,https://open.spotify.com/track/0OTO8ZF2YqFQVw9hnZylTd?si=e0d16698bb804227
Pour Me A Drink (Feat.Blake Shelton),"Post Malone, Blake Shelton",,https://open.spotify.com/track/5ZLL6wYXeqg0k35ZkDRfhZ?si=0f5d22083eda4511
Good Feeling,FIo Rida,,https://open.spotify.com/track/2LEF1A8DOZ9wRYikWgVlZ8?si=e47393780be04794
Sexy And I Know It,LMFAO,,https://open.spotify.com/track/0obBFrPYkSoBJbvHfUIhkv?si=d16e813cb9a84303
Glad You Came,,,https://open.spotify.com/track/5yDL13y5giogKs2fSNf7sj?si=d559feba9c6a47b3
Just Can't Get Enough,Black Eyed Peas,,https://open.spotify.com/track/3JA9Jsuxr4xgHXEawAdCp4?si=cc9dbfe1af0041b9
Corazon Sin Cara,Prince Royce,,https://open.spotify.com/track/0u4N6w5lBw5xMrzJitRWUo?si=32896071d32048a7
LA CANCION,"J Balvin, Bad Bunny",,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18?si=65701cdea0c14199
Drowning (feat. Kodak Black),"A Boogie Wit da Hoodie, Kodak Black",,https://open.spotify.com/track/1f5cbQtDrykjarZVrShaDI?si=058ed2f8af704544
Let it Rock,"Kevin Rudolf, Lil Wayne",,https://open.spotify.com/track/6TrNRd98WksT9Kkmx9uj6R?si=1e4fcaf7e00b405b
Breaking the Habit,Linkin Park,,https://open.spotify.com/track/6n8TMVyFKoUmDc4apxceRD?si=9b4e55a13fc94ee3
War of Change,Thousand Foot Krutch,,https://open.spotify.com/track/1qUHD9oPIMFHKpR12NY2KC?si=3c4503d1351244e6
Sunroof,"Nicky Youre, dazy",,https://open.spotify.com/track/5YqEzk3C5c3UZ1D5fJUlXA?si=3038336394e94d83
Kiss Me Thru The Phone ,"Soujia Boy, Sammie",,https://open.spotify.com/track/2q4rjDy9WhaN3o9MvDbO21?si=b570bddd32334337
Heat Waves,Glass Animals,,https://open.spotify.com/track/3USxtqRwSYz57Ewm6wWRMp?si=1729846484674369
INDUSTRY BABY,"Lil Nas X, Jack Harlow",,https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK?si=834c5eebad274de0
Just Wanna Rock,Lil Uzi Vert,,https://open.spotify.com/track/4FyesJzVpA39hbYvcseO2d?si=90568624464d4bee
I Ain't Worried,OneRepublic,,https://open.spotify.com/track/4h9wh7iOZ0GGn8QVp4RAOB?si=fcbd13de8bd749ec
golden hour,JVKE,,https://open.spotify.com/track/4yNk9iz9WVJikRFle3XEvn?si=d1c1ed76aa6b43ab
"Feel it- From The Original Series"" invincible",d4vd,,https://open.spotify.com/track/3SAga35lAPYdjj3qyfEsCF?si=cae912492f694def
I'm Good (Blue),"David Guetta, Bebe Rexha",,https://open.spotify.com/track/4uUG5RXrOk84mYEfFvj3cK?si=947434768d0346d3
